epoch,bucket,eth
254543,chronic,55188.0
254543,desynced,32.0
254543,silent,216857.0
254543,uncollected,50336.0
254543,wrong-target,1888.0
254544,chronic,54932.0
254544,silent,215865.0
254544,uncollected,42016.0
254544,wrong-target,64.0
254545,chronic,54836.0
254545,desynced,160.0
254545,silent,218393.0
254545,uncollected,47839.0
254545,wrong-target,1024.0
254546,chronic,54964.0
254546,desynced,96.0
254546,silent,222809.0
254546,uncollected,70400.0
254546,wrong-target,10304.0
254547,chronic,54708.0
254547,desynced,320.0
254547,silent,214649.0
254547,uncollected,2496.0
254547,wrong-target,1056.0
254548,chronic,54740.0
254548,desynced,192.0
254548,silent,217497.0
254548,uncollected,6400.0
254548,wrong-target,160.0
254549,chronic,54644.0
254549,desynced,416.0
254549,silent,209785.0
254549,uncollected,3008.0
254549,wrong-target,4800.0
254550,chronic,54612.0
254550,desynced,32.0
254550,silent,215673.0
254550,uncollected,9056.0
254550,wrong-target,28352.0
254551,chronic,54708.0
254551,desynced,64.0
254551,silent,204281.0
254551,uncollected,36032.0
254551,wrong-target,64.0
254552,chronic,54868.0
254552,desynced,32.0
254552,silent,202713.0
254552,uncollected,46367.0
254552,wrong-target,34048.0
254553,chronic,54644.0
254553,desynced,64.0
254553,silent,201081.0
254553,uncollected,6528.0
254553,wrong-target,64.0
254554,chronic,55220.0
254554,desynced,192.0
254554,silent,204409.0
254554,uncollected,24448.0
254554,wrong-target,64.0
254555,chronic,55092.0
254555,desynced,32.0
254555,silent,200761.0
254555,uncollected,15008.0
254555,wrong-target,1376.0
254556,chronic,54996.0
254556,desynced,96.0
254556,silent,201657.0
254556,uncollected,19328.0
254557,chronic,54836.0
254557,desynced,160.0
254557,silent,216537.0
254557,uncollected,10112.0
254558,chronic,55028.0
254558,desynced,64.0
254558,silent,245209.0
254558,uncollected,576.0
254559,chronic,54932.0
254559,desynced,576.0
254559,silent,243193.0
254559,uncollected,160.0
254560,chronic,54836.0
254560,silent,239929.0
254560,uncollected,608.0
254560,wrong-target,64.0
254561,chronic,54964.0
254561,desynced,32.0
254561,silent,236153.0
254561,uncollected,168831.0
254561,wrong-target,32.0
254562,chronic,54868.0
254562,desynced,160.0
254562,silent,236409.0
254562,uncollected,14848.0
254562,wrong-target,320.0
254563,chronic,55252.0
254563,silent,235513.0
254563,uncollected,24672.0
254563,wrong-target,25312.0
254564,chronic,54868.0
254564,desynced,160.0
254564,silent,235481.0
254564,uncollected,96.0
254564,wrong-target,5056.0
254565,chronic,54900.0
254565,desynced,160.0
254565,silent,219481.0
254565,uncollected,2336.0
254566,chronic,54996.0
254566,desynced,64.0
254566,silent,215737.0
254566,uncollected,51456.0
254566,wrong-target,10304.0
254567,chronic,54740.0
254567,desynced,96.0
254567,silent,195129.0
254567,uncollected,32.0
254568,chronic,54900.0
254568,silent,191385.0
254568,uncollected,64032.0
254568,wrong-target,32.0
254569,chronic,54868.0
254569,desynced,192.0
254569,silent,196889.0
254569,uncollected,10720.0
254569,wrong-target,160.0
254570,chronic,54932.0
254570,desynced,32.0
254570,silent,187609.0
254570,uncollected,17664.0
254570,wrong-target,32992.0
254571,chronic,55028.0
254571,desynced,128.0
254571,silent,189017.0
254571,uncollected,41663.0
254571,wrong-target,1248.0
254572,chronic,54964.0
254572,desynced,64.0
254572,silent,196409.0
254572,uncollected,24576.0
254572,wrong-target,96.0
254573,chronic,54932.0
254573,desynced,160.0
254573,silent,191097.0
254573,uncollected,24607.0
254574,chronic,54868.0
254574,desynced,128.0
254574,silent,193273.0
254574,uncollected,416.0
254574,wrong-target,352.0
254575,chronic,55092.0
254575,desynced,96.0
254575,silent,182745.0
254575,uncollected,43616.0
254575,wrong-target,9728.0
254576,chronic,55124.0
254576,desynced,128.0
254576,silent,178425.0
254576,uncollected,9920.0
254576,wrong-target,1280.0
254577,chronic,54900.0
254577,desynced,96.0
254577,silent,180537.0
254577,uncollected,31520.0
254577,wrong-target,96.0
254578,chronic,54580.0
254578,desynced,96.0
254578,silent,179833.0
254578,uncollected,11200.0
254578,wrong-target,2272.0
254579,chronic,54964.0
254579,desynced,192.0
254579,silent,180377.0
254579,uncollected,5920.0
254579,wrong-target,1568.0
254580,chronic,54964.0
254580,desynced,96.0
254580,silent,176505.0
254580,uncollected,11936.0
254580,wrong-target,544.0
254581,chronic,54900.0
254581,desynced,32.0
254581,silent,174713.0
254581,uncollected,576.0
254582,chronic,54932.0
254582,desynced,192.0
254582,silent,175321.0
254582,uncollected,7424.0
254582,wrong-target,384.0
254583,chronic,54964.0
254583,desynced,32.0
254583,silent,180665.0
254583,uncollected,25888.0
254583,wrong-target,21600.0
254584,chronic,54804.0
